10.111.128.50 - - [31/Jan/2019:07:39:44 +1100] "POST /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 639
10.111.128.50 - - [31/Jan/2019:07:39:44 +1100] "POST /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 1448
10.111.128.50 - - [31/Jan/2019:07:39:44 +1100] "POST /SSINFRAP/rest/api/getAddedProjectNames HTTP/1.1" 200 1962
10.111.128.50 - - [31/Jan/2019:07:39:45 +1100] "POST /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 639
10.111.128.50 - - [31/Jan/2019:07:39:45 +1100] "POST /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 1448
10.111.128.50 - - [31/Jan/2019:07:39:45 +1100] "POST /SSINFRAP/rest/api/getAddedProjectNames HTTP/1.1" 200 1962
10.111.128.50 - - [31/Jan/2019:07:39:48 +1100] "POST /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 28
10.111.128.50 - - [31/Jan/2019:07:39:48 +1100] "POST /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 42
10.111.128.50 - - [31/Jan/2019:07:39:50 +1100] "POST /SSINFRAP/rest/api/getCloudVDIDetails HTTP/1.1" 200 1109
10.111.128.50 - - [31/Jan/2019:07:39:52 +1100] "POST /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 639
10.111.128.50 - - [31/Jan/2019:07:39:52 +1100] "POST /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 1448
10.111.128.50 - - [31/Jan/2019:07:39:52 +1100] "POST /SSINFRAP/rest/api/getAddedProjectNames HTTP/1.1" 200 1962
10.111.128.50 - - [31/Jan/2019:07:39:55 +1100] "POST /SSINFRAP/rest/api/getAssignedOwnerDetails HTTP/1.1" 200 23
10.111.128.50 - - [31/Jan/2019:07:39:55 +1100] "POST /SSINFRAP/rest/api/getAddedTeamNames HTTP/1.1" 200 57
10.111.128.50 - - [31/Jan/2019:07:39:57 +1100] "POST /SSINFRAP/rest/api/getCloudVDIDetails HTTP/1.1" 200 10637
