10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4533
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:09:55:33 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:09:55:34 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:09:55:34 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:09:55:34 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:09:55:34 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:09:55:34 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12695
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4623
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:09:59:48 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:09:59:49 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:09:59:49 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:09:59:49 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:09:59:49 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:09:59:49 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12695
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4623
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:09:59:52 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:09:59:53 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:09:59:53 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:09:59:53 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:09:59:53 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:09:59:53 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:01:28 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:10:03:30 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4624
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:10:03:31 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:10:03:32 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:10:03:32 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:10:03:32 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:03:32 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4699
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:10:17:32 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:10:17:33 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:10:17:33 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:10:17:33 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:10:17:33 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:10:17:33 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:19:01 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4701
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:10:19:02 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:10:19:03 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:10:19:03 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:10:19:03 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:19:03 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4716
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:10:23:19 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:10:23:20 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:10:23:20 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:10:23:20 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:10:23:20 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:24:35 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:24:35 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:24:35 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:24:35 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 6334
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/libs/JS/angular/angular-datepicker.js HTTP/1.1" 200 38623
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 4720
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 3273
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 925
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/Header.html HTTP/1.1" 200 415
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
10.41.48.29 - - [14/Jan/2019:10:24:36 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
10.41.48.29 - - [14/Jan/2019:10:25:40 +1100] "GET /SSINFRAP/ HTTP/1.1" 200 12696
10.41.48.29 - - [14/Jan/2019:10:25:40 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
10.41.48.29 - - [14/Jan/2019:10:25:40 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
10.41.48.29 - - [14/Jan/2019:10:25:40 +1100] "GET /SSINFRAP/libs/css/angular-datepicker.css HTTP/1.1" 200 5677
