127.0.0.1 - - [17/Dec/2018:08:57:35 +1100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:56 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 8628
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:57 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:58 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:57:59 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:58:06 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:58:06 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:58:06 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [17/Dec/2018:08:59:57 +1100] "GET /SSINFRAP/rest/api/availableMachineCount HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [17/Dec/2018:09:10:08 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [17/Dec/2018:09:10:08 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
