127.0.0.1 - - [30/Jan/2019:14:25:34 +1100] "GET / HTTP/1.1" 404 1074
144.136.126.96 - - [30/Jan/2019:14:25:37 +1100] "GET /SSINFRAP/Environment.html HTTP/1.1" 200 7891
144.136.126.96 - - [30/Jan/2019:14:25:37 +1100] "GET /SSINFRAP/TelstraLogo.png HTTP/1.1" 200 7125
144.136.126.96 - - [30/Jan/2019:14:25:37 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
144.136.126.98 - - [30/Jan/2019:14:30:20 +1100] "GET /SSINFRAP/Environment.html HTTP/1.1" 200 7891
144.136.126.98 - - [30/Jan/2019:14:30:20 +1100] "GET /SSINFRAP/TelstraLogo.png HTTP/1.1" 304 -
144.136.126.98 - - [30/Jan/2019:14:30:20 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
144.136.126.98 - - [30/Jan/2019:15:27:16 +1100] "GET /SSINFRAP/Environment.html HTTP/1.1" 304 -
144.136.126.98 - - [30/Jan/2019:15:27:16 +1100] "GET /SSINFRAP/TelstraLogo.png HTTP/1.1" 304 -
