127.0.0.1 - - [18/Dec/2018:13:35:36 +1100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:54 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:55 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:35:55 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:36:00 +1100] "GET /SSINFRAP/rest/api/getSoftwares HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:36:00 +1100] "GET /SSINFRAP/rest/api/getTeams HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:36:00 +1100] "GET /SSINFRAP/rest/api/getProjects HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:36:25 +1100] "GET /SSINFRAP/rest/api/availableMachineCount HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [18/Dec/2018:13:36:53 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/JS/infraController.js HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/JS/infraRouter.js HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/JS/machineController.js HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/css/ToogleSwitch.css HTTP/1.1" 200 13022
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/JS/angular/angular.js HTTP/1.1" 200 1364603
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/JS/JQuery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:44:06 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
